StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc
175,Palo Verde II,Palo Verde,Southern Region Office,Imperial,1/11/2001,12/31/2050,True,True,230,Alfalfa,33º23'1N / 33.383697,-114º43'9W / -114.719210,92266,
176,La Quinta,Indio,Southern Region Office,Riverside,11/10/2000,9/26/2006,False,True,42,Grass,33º41'8N / 33.685556,-116º18'20W / -116.305560,"92253, 92211, 92210, 92203, 92202, 92201",
177,Watsonville West,Watsonville,South Central Region Office,Santa Cruz,11/30/2000,3/22/2006,False,True,212,Grass,36º54'0N / 36.90,-121º48'47W / -121.813110,"95077, 95076, 95075, 95019, 95018",
178,Moraga,Moraga,North Central Region Office,Contra Costa,2/27/2002,12/31/2050,True,True,510,Grass,37º50'15N / 37.837614,-122º8'27W / -122.140740,94595,
179,Winchester,Winchester,Southern Region Office,Riverside,2/7/2002,12/31/2050,True,True,1626,Grass,33º39'48N / 33.663325,-117º5'36W / -117.093380,"92596, 92584, 92548",
180,Westmorland West,Westmorland,Southern Region Office,Imperial,11/8/2001,7/21/2003,False,True,-218,Alfalfa,33º7'27N / 33.124167,-115º48'12W / -115.803330,92281,
181,Westmorland North,Imperial,Southern Region Office,Imperial,4/1/2004,6/17/2050,True,True,-200,Alfalfa,33º4'43N / 33.078611,-115º39'38W / -115.660560,"92227, 92233, 92251, 92281",
182,Delano,Delano,South Central Region Office,Tulare,3/21/2002,12/31/2050,True,True,300,Grass,35º49'59N / 35.8330,-119º15'21W / -119.255960,"93261, 93250, 93219, 93216, 93215, 93201",
183,Owens Lake North,Keeler,Southern Region Office,Inyo,12/16/2002,12/31/2050,True,False,3684,Bare,36º29'19N / 36.488611,-117º55'10W / -117.919440,93512,
184,San Diego II,San Diego,Southern Region Office,San Diego,3/1/2002,12/31/2050,True,True,377,Grass,32º43'46N / 32.729578,-117º8'22W / -117.139340,"92199, 92198, 92197, 92196, 92195, 92194, 92193, 92192, 92191, 92187, 92186, 92184, 92182, 92179, 92178, 92177, 92176, 92175, 92174, 92173, 92172, 92171, 92170, 92169, 92168, 92167, 92166, 92165, 92164, 92163, 92162, 92161, 92160, 92159, 92158, 92155, 92154, 92153, 92152, 92150, 92149, 92147, 92145, 92144, 92143, 92142, 92140, 92139, 92138, 92137, 92136, 92135, 92134, 92133, 92132, 92131, 92130, 92129, 92128, 92127, 92126, 92125, 92124, 92123, 92122, 92121, 92120, 92119, 92118, 92117, 92116, 92115, 92114, 92113, 92112, 92111, 92110, 92109, 92108, 92107, 92106, 92105, 92104, 92103, 92102, 92101",
185,UC-Mex,Calexico,Southern Region Office,Imperial,1/18/2002,8/28/2002,False,True,39,Grass,32º24'40N / 32.411111,-115º11'50W / -115.197220,92243,
186,UC-San Luis,Calexico,Southern Region Office,Imperial,4/16/2002,1/25/2016,False,False,48,Grass,32º29'34N / 32.492658,-114º49'34W / -114.826160,92243,
187,Black Point,Novato,North Central Region Office,Marin,6/1/2003,12/31/2050,True,True,1,Grass,38º5'27N / 38.090933,-122º31'36W / -122.5267,"94945, 94949",
188,Madera II,Madera,South Central Region Office,Madera,3/27/2013,6/23/2018,False,True,242,Grass,37º1'12N / 37.02,-120º9'0W / -120.15,"93610, 93637, 93638, 93639",
189,Owens Lake South,Cartago,Southern Region Office,Inyo,4/1/2003,12/31/2050,True,False,3682,Grass,36º21'31N / 36.358628,-117º56'38W / -117.943870,93512,
190,Five Points South West,Five Points,South Central Region Office,Fresno,7/2/2003,12/4/2019,False,False,270,Grass,36º22'55N / 36.382028,-120º13'47W / -120.229850,93624,
191,Pleasanton,Pleasanton,North Central Region Office,Alameda,5/1/2004,12/31/2050,True,True,335,Grass,37º39'50N / 37.663969,-121º53'6W / -121.885030,94588,
192,Lake Arrowhead,Lake Arrowhead,Southern Region Office,San Bernardino,3/20/2004,12/31/2050,True,True,5148,Grass,34º15'21N / 34.255942,-117º13'5W / -117.218140,92352,
193,Pacific Grove,Pacific Grove,South Central Region Office,Monterey,10/26/2011,12/31/2050,True,True,50,Grass,36º38'0N / 36.633222,-121º56'5W / -121.934860,"93950, 93953, 93942, 93943, 93955",
194,Oakdale,Oakdale,South Central Region Office,Stanislaus,11/2/2004,12/31/2050,True,True,165,Grass,37º43'38N / 37.727194,-120º51'3W / -120.850860,95361,
195,Auburn,Auburn,North Central Region Office,Placer,2/16/2005,12/31/2050,True,True,935,Grass,38º53'15N / 38.887603,-121º6'10W / -121.102910,"95603, 95604",
196,Esparto,Esparto,North Central Region Office,Yolo,4/15/2005,7/15/2017,False,True,174,Grass,38º41'30N / 38.691786,-122º0'50W / -122.013810,"95607, 95627, 95653, 95695",
197,Palmdale,Palmdale,Southern Region Office,Los Angeles,4/6/2005,12/31/2050,True,True,2550,Grass,34º36'54N / 34.614981,-118º1'57W / -118.032490,"93534, 93535, 93543, 93550, 93552, 93591",
198,Santa Paula,Santa Paula,Southern Region Office,Ventura,3/30/2005,6/22/2023,False,True,218,Grass,34º19'29N / 34.324639,-119º6'18W / -119.104880,93060,
199,Big Bear Lake,Big Bear Lake,Southern Region Office,San Bernardino,7/19/2005,12/31/2050,True,True,6910,Grass,34º14'15N / 34.237419,-116º51'57W / -116.865710,92315,
200,Indio 2,Indio,Southern Region Office,Riverside,5/16/2006,12/31/2050,True,True,40,Grass,33º44'55N / 33.748586,-116º15'10W / -116.2529,"92201, 92202, 92203, 92211",
201,UC-Andrade,Calexico,Southern Region Office,Imperial,1/1/2006,10/1/2015,False,True,120,Grass,32º40'28N / 32.674353,-115º2'40W / -115.044380,92250,
202,Nipomo,Nipomo,Southern Region Office,San Luis Obispo,6/27/2006,12/31/2050,True,True,255,Grass,35º1'42N / 35.028281,-120º33'36W / -120.560030,"93420, 93444",
203,Alpaugh,Alpaugh,South Central Region Office,Tulare,7/11/2006,11/16/2017,False,False,210,Grass,35º51'45N / 35.862583,-119º30'13W / -119.503570,"93201, 93212, 93219, 93280",
204,Santa Clarita,Santa Clarita,Southern Region Office,Los Angeles,12/4/2006,12/31/2050,True,True,1410,Grass,34º25'35N / 34.426361,-118º31'3W / -118.517580,91350,
205,Coalinga,Coalinga,South Central Region Office,Fresno,3/25/2010,12/31/2050,True,False,730,Grass,36º10'33N / 36.175833,-120º21'37W / -120.360270,93210,
206,Denair II,Denair,South Central Region Office,Stanislaus,4/9/2009,12/31/2050,True,True,150,Grass,37º32'45N / 37.545869,-120º45'16W / -120.754530,"95303, 95316, 95323, 95326, 95382",
207,Borrego Springs,Borrego Springs,Southern Region Office,San Diego,1/4/2008,12/31/2050,True,True,578,Grass,33º16'6N / 33.268447,-116º21'54W / -116.365050,92004,
208,La Quinta II,La Quinta,Southern Region Office,Riverside,2/6/2007,12/31/2050,True,True,36,Grass,33º40'41N / 33.678186,-116º16'23W / -116.272990,"92253, 92211, 92210, 92203, 92202, 92201",
209,Watsonville West II,Watsonville,South Central Region Office,Santa Cruz,6/13/2007,12/31/2050,True,True,240,Grass,36º54'47N / 36.913083,-121º49'25W / -121.823650,"95077, 95076, 95075, 95019, 95018",
210,Carmel,Carmel,South Central Region Office,Monterey,7/22/2008,12/31/2050,True,True,75,Grass,36º32'27N / 36.540889,-121º52'55W / -121.881960,"93923, 93921, 93953, 93922, 93924",
211,Gilroy,Gilroy,North Central Region Office,Santa Clara,9/1/2009,12/31/2050,True,False,185,Grass,37º0'54N / 37.015026,-121º32'13W / -121.537040,95020,
212,Hastings Tract East,Dixon,North Central Region Office,Solano,10/20/2009,12/31/2050,True,True,7,Grass,38º16'41N / 38.278056,-121º44'28W / -121.741110,"94571, 95620",
213,El Cerrito,El Cerrito,North Central Region Office,Contra Costa,9/24/2013,12/31/2050,True,True,596,Grass,37º55'54N / 37.931539,-122º18'10W / -122.302714,"94530, 94805, 94802, 94808, 94804, 94850, 94708, 94707, 94706, 94806",
214,Salinas South II,Salinas,South Central Region Office,Monterey,5/17/2013,12/31/2050,True,True,153,Grass,36º37'32N / 36.625619,-121º32'16W / -121.537889,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",
215,Chatsworth,Chatsworth,Southern Region Office,Los Angeles,9/1/2011,12/31/2050,True,True,1536,Grass,34º17'29N / 34.291331,-118º34'12W / -118.570040,"91326, 91327, 91311, 91344, 91313, 91394",
216,Arleta,Arleta,Southern Region Office,Los Angeles,9/8/2011,12/31/2050,True,True,980,Grass,34º15'22N / 34.256111,-118º22'58W / -118.382780,"91040, 91331, 91352",
217,Moorpark,Moorpark,Southern Region Office,Ventura,7/3/2014,12/31/2050,True,True,718,Grass,34º16'9N / 34.269031,-118º50'58W / -118.849319,"91360, 91362, 93021, 93065",
218,Thermal South,Thermal,Southern Region Office,Riverside,1/30/2010,12/31/2050,True,True,-150,Grass,33º35'44N / 33.595694,-116º9'29W / -116.158110,92274,
219,West Hills,West Hills,Southern Region Office,Los Angeles,9/6/2011,12/31/2050,True,True,926,Grass,34º12'51N / 34.214197,-118º38'41W / -118.644770,"91303, 91304, 91306, 91308, 91311, 91367",
220,Palmdale Central,Palmdale,Southern Region Office,Los Angeles,3/23/2011,12/31/2050,True,True,2630,Grass,34º35'32N / 34.592222,-118º7'39W / -118.1275,93550,
221,Cadiz Valley,Chambless,Southern Region Office,San Bernardino,11/1/2010,10/10/2050,True,True,155,Grass,34º30'49N / 34.513611,-115º30'38W / -115.510560,"92304, 92332, 92338",
222,Gerber South,Gerber,Northern Region Office,Tehama,8/13/2014,12/31/2050,True,True,246,Grass,40º2'24N / 40.040006,-122º9'16W / -122.154539,"96035, 96055, 96078, 96080, 96090, 96092",
223,North Hollywood,Universal City,Southern Region Office,Los Angeles,1/30/2018,5/28/2050,True,True,570,Grass,34º8'34N / 34.142911,-118º21'59W / -118.366320,"91602, 91618, 91604",
224,Shasta College,Redding,Northern Region Office,Shasta,1/1/2013,12/31/2050,True,True,592,Grass,40º37'48N / 40.63,-122º18'36W / -122.31,,
225,Scott Valley,Fort Jones,Northern Region Office,Siskiyou,4/1/2015,12/31/2050,True,True,2733,Grass,41º34'40N / 41.577778,-122º50'17W / -122.838125,,
226,Woodland,Woodland,North Central Region Office,Yolo,5/12/2011,12/31/2050,True,True,82,Grass,38º40'22N / 38.672722,-121º48'42W / -121.811720,"95695, 95776, 95627",
227,Plymouth,Plymouth,North Central Region Office,Amador,11/1/2010,12/31/2050,True,True,1520,Grass,38º30'30N / 38.508333,-120º47'59W / -120.799720,"95669, 95629, 95685",
228,Diamond Springs,Diamond Springs,North Central Region Office,El Dorado,9/29/2010,12/31/2050,True,True,2050,Grass,38º38'10N / 38.636111,-120º47'35W / -120.793050,"95619, 95623, 95667, 95684",
229,Laguna Seca,Monterey,South Central Region Office,Monterey,1/1/2011,12/31/2050,True,True,320,Grass,36º34'12N / 36.570111,-121º47'11W / -121.7865,"93940, 93955, 93943",
230,Santa Barbara II,Santa Barbara,Southern Region Office,Santa Barbara,1/10/2011,1/23/2018,False,False,440,Grass,34º24'20N / 34.405556,-119º42'54W / -119.7150,93109,
231,Lompoc,Lompoc,Southern Region Office,Santa Barbara,7/14/2010,12/31/2050,True,False,55,Grass,34º40'20N / 34.672222,-120º30'47W / -120.513060,"93436, 93437, 93438",
232,Santa Maria II,Santa Maria,Southern Region Office,Santa Barbara,4/1/2011,12/31/2050,True,False,215,Grass,34º54'48N / 34.913472,-120º27'53W / -120.464780,"93454, 93458, 93955, 93456, 93457, 93455, 93429",
233,Joshua Tree,Joshua Tree,Southern Region Office,San Bernardino,12/1/2011,12/31/2050,True,False,2483,Bare,34º8'17N / 34.138147,-116º12'47W / -116.213190,"92252, 92278, 92284",
234,Newberry Springs II,Newberry Springs,Southern Region Office,San Bernardino,2/25/2015,11/29/2020,False,True,1930,Grass,34º53'0N / 34.883472,-116º48'37W / -116.810247,"92311, 92312, 92327, 92365, 92398",
235,Verona,Nicolaus,North Central Region Office,Sutter,5/18/2012,12/31/2050,True,True,24,Alfalfa,38º47'53N / 38.797944,-121º36'41W / -121.611360,"95659, 95668, 95676, 95836, 95645, 95697, 95776",
236,Macdoel II,Macdoel,Northern Region Office,Siskiyou,4/16/2015,12/31/2050,True,True,4265,Grass,41º48'9N / 41.802476,-121º59'46W / -121.996159,"96058, 96023",
237,Temecula East III,Temecula,Southern Region Office,Riverside,11/1/2012,12/31/2050,True,True,1530,Grass,33º33'10N / 33.552810,-117º2'36W / -117.043302,"92589, 92590, 92591, 92592, 92596, 92593, 92544, 92543",
238,Moreno Valley,Moreno Valley,Southern Region Office,Riverside,4/19/2013,4/24/2018,False,True,1604,Grass,33º54'0N / 33.90,-117º10'12W / -117.17,"92518, 92551, 92554, 92555, 92556",
239,Hemet,Hemet,Southern Region Office,Riverside,1/22/2015,12/31/2050,True,False,1768,Grass,33º39'53N / 33.664747,-116º57'18W / -116.955121,"92543, 92544, 92593, 92596, 92546, 92545",
240,Perris - Menifee,Perris,Southern Region Office,Riverside,5/25/2013,12/31/2050,True,True,1421,Grass,33º45'36N / 33.76,-117º12'0W / -117.20,"92548, 92570, 92572, 92584, 92585, 92586, 92587",
241,San Clemente,San Clemente,Southern Region Office,Orange,7/28/2015,12/31/2050,True,True,224,Grass,33º27'45N / 33.4625,-117º35'10W / -117.586111,"92672, 92673, 92675, 92693",
242,Staten Island,Walnut Grove,North Central Region Office,San Joaquin,11/5/2015,12/31/2050,True,True,-10,Grass,38º11'33N / 38.192397,-121º30'37W / -121.510261,"95686, 95242, 95641, 95690, 95680",
243,Ryde,Walnut Grove,North Central Region Office,Sacramento,12/16/2015,12/31/2050,True,True,-10,Grass,38º14'59N / 38.249622,-121º33'20W / -121.555528,"95690, 95680, 95615, 95641, 95686",
244,Biggs,Biggs,Northern Region Office,Butte,6/18/2015,12/31/2050,True,True,72,Grass,39º23'12N / 39.386632,-121º50'7W / -121.835278,"95917, 95920, 95932, 95948, 95970",
245,Coto de Caza,Coto de Caza,Southern Region Office,Orange,10/7/2015,12/31/2050,True,True,846,Grass,33º37'18N / 33.621667,-117º35'7W / -117.585278,"92678, 92679, 92691, 92692, 92694",
246,Markleeville,Markleeville,North Central Region Office,Alpine,6/13/2014,12/31/2050,True,True,5517,Grass,38º46'24N / 38.773409,-119º47'31W / -119.791930,"96120, 96133",
247,Jersey Island,Oakley,North Central Region Office,Contra Costa,7/1/2016,12/31/2050,True,True,-12,Grass,38º2'0N / 38.033386,-121º42'4W / -121.701247,"95219, 94511, 94571, 94561, 94513",
248,Holt,Stockton,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,-3,Grass,37º55'55N / 37.932072,-121º23'48W / -121.396661,"95206, 95234, 95203, 95219",
249,Ripon,Manteca,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,20,Grass,37º45'20N / 37.755597,-121º15'58W / -121.266153,"95337, 95304, 95330, 95336",
250,Williams,Williams,Northern Region Office,Colusa,8/9/2016,12/31/2050,True,True,69,Grass,39º12'38N / 39.210667,-122º10'8W / -122.168889,"95987, 95955, 95932, 95912",
251,Highland,Highland,Southern Region Office,San Bernardino,10/10/2016,12/31/2050,True,True,1275,Grass,34º6'43N / 34.112042,-117º11'9W / -117.1857,"92346, 92374",
252,Soledad II,Soledad,South Central Region Office,Monterey,9/3/2016,12/31/2050,True,True,214,Grass,36º27'24N / 36.456728,-121º20'40W / -121.344388,"93926, 93960",
253,Pescadero,Pescadero,North Central Region Office,San Mateo,8/24/2017,12/31/2050,True,True,47,Grass,37º15'19N / 37.255333,-122º22'15W / -122.3708,"94060, 94074, 94019, 94062, 95017, 95060",
254,Oakland Metro,Oakland,North Central Region Office,Alameda,3/12/2018,12/31/2050,True,True,14,Grass,37º43'5N / 37.718167,-122º11'50W / -122.197111,"94577, 94579, 94603, 94621, 94502",
255,Chino,Chino,Southern Region Office,San Bernardino,3/8/2018,8/11/2020,False,True,637,Alfalfa,33º59'7N / 33.985350,-117º39'24W / -117.656528,"91708, 91710",
256,Lancaster,Lancaster,Southern Region Office,Los Angeles,7/26/2018,12/31/2050,True,True,2340,Alfalfa,34º45'34N / 34.759475,-117º59'31W / -117.991997,"93523, 93524, 93535, 93560",
257,Ridgecrest,Ridgecrest,Southern Region Office,Kern,10/10/2018,12/31/2050,True,False,2234,Grass,35º39'33N / 35.659128,-117º38'13W / -117.636925,"93554, 93555, 93556",
258,Lemon Cove,Lemon Cove,South Central Region Office,Tulare,11/15/2018,12/31/2050,True,True,498,Grass,36º22'37N / 36.376917,-119º2'17W / -119.037972,"93221, 93244, 93286",
259,Ferndale Plain,Ferndale,Northern Region Office,Humboldt,8/5/2019,12/30/2050,True,True,21,Grass,40º36'16N / 40.604467,-124º14'35W / -124.243186,"95536, 95540, 95551",
260,Montague,Montague,Northern Region Office,Siskiyou,9/20/2019,12/31/2050,True,True,2663,Grass,41º47'54N / 41.798331,-122º27'48W / -122.463425,"96038, 96044, 96064, 96097",
261,Gazelle,Gazelle,Northern Region Office,Siskiyou,9/18/2019,12/31/2050,True,True,2743,Grass,41º32'2N / 41.533989,-122º31'56W / -122.532279,"96034, 96038, 96064, 96094",
262,Linden,Linden,North Central Region Office,San Joaquin,2/26/2020,12/31/2050,True,True,111,Grass,38º3'56N / 38.065692,-121º4'18W / -121.071747,"95240, 95236, 95227, 95237, 95252, 95212, 95215",
263,Smith River,Crescent City,Northern Region Office,Del Norte,10/7/2020,12/31/2050,True,True,22,Grass,41º53'41N / 41.894592,-124º9'54W / -124.165043,"95532, 95567",
264,Sierra Valley Center,Portola,Northern Region Office,Plumas,10/28/2020,12/31/2050,True,True,4898,Grass,39º46'39N / 39.777452,-120º16'25W / -120.273609,"96106, 96118, 96122, 96129, 96135",
265,Paso Robles,Paso Robles,Southern Region Office,San Luis Obispo,3/1/2022,12/31/2050,True,True,764,Grass,35º41'32N / 35.692266,-120º38'55W / -120.648550,"93426, 93446, 93447, 93451, 93465",
266,Shandon,Shandon,Southern Region Office,San Luis Obispo,8/1/2022,12/31/2050,True,True,1105,Grass,35º38'38N / 35.643787,-120º24'12W / -120.403229,"93461, 93432, 93447",
267,Johnstonville,Johnstonville,Northern Region Office,Lassen,4/27/2022,12/31/2050,True,True,4112,Grass,40º21'52N / 40.364578,-120º33'34W / -120.559397,"96114, 96128, 96127",
268,Nubieber,Nubieber,Northern Region Office,Lassen,11/22/2023,12/31/2030,True,True,4122,Grass,41º6'21N / 41.1059,-121º9'57W / -121.1657,"96068, 96009, 96056, 96054, 96006",
